step,reference,input,output
102,1,1.678963153491727,0.8825215937209584
103,1,1.8606120733200782,-0.05018163006535292
104,1,2.1158277626408033,1.4475932427595959
105,1,2.1172669658388665,1.0817948684471372
106,1,1.996269170379914,1.0345010145731657
107,1,1.9469827984920853,1.0297229693074241
108,1,2.011092498055793,0.5876785103629241
109,1,2.135712100937915,0.9997706944156842
110,-1,1.8954265960013317,1.0810717656388986
111,-1,0.9969590179914639,1.0701876606609697
112,-1,-0.07822157727540524,0.33527665906571225
113,-1,-0.8439624094916804,0.12248878993874357
114,-1,-1.1602364635102407,-1.3997438835587728
115,1,-0.9033468962296246,-0.3444672574234777
116,1,-0.19920759483559625,-0.47461415191025824
117,1,0.48690816189230673,0.47514575840656303
118,1,0.841487772482868,0.5571643730163012
119,1,1.0924146400117807,-0.007012235116399312
120,1,1.4255418709881573,0.6786299071564782
121,1,1.693267637534426,0.6006992957353299
122,1,1.905223461723296,0.4079414034769018
123,1,2.0959919905123643,0.9476569372828582
124,1,2.1114354857317537,1.4225839315751214
125,1,1.9583992282240923,1.126686613447049
126,1,1.8741399565979338,0.8079668546947087
127,1,1.9820163254451157,0.5841361582367697
128,1,2.0399984141283265,1.75871368878605
129,1,1.8738769112389382,1.0456629836631348
130,-1,1.4902632685429107,0.7331833559766259
131,-1,0.7304394845954495,0.8629369758692322
132,-1,-0.1937681061065175,0.32325031038404717
133,-1,-0.8566727325011834,-0.41095767183418164
134,-1,-1.2119888113841761,-0.22741705677004181
135,1,-1.13831786401363,-0.9579687781541769
136,1,-0.42250809487506374,-0.52068213980533
137,1,0.45334556128056824,-0.07558813295724438
138,1,1.0024527907149043,0.499833559557089
139,1,1.2071820719940676,0.8240286373553802
140,-1,1.0205553337486002,0.5602652595979657
141,-1,0.35009524184115925,0.519284013738779
142,-1,-0.39737014950992655,-0.32131478787012735
143,-1,-0.8492850832983612,-0.33646059102581843
144,-1,-1.1216420160836456,-0.3983856013280428
145,-1,-1.3453099809759252,-0.7816517453504177
146,-1,-1.4115409114097184,-1.3486510320896115
147,-1,-1.4289451166163833,-0.21239334477894956
148,-1,-1.6270282273321195,-0.6981019368663608
149,-1,-1.8335498854389987,-0.9357209768195446
150,1,-1.5819241935056731,-1.1528196475834005
151,1,-0.7920392813613022,-0.07842654850184738
152,1,-0.019688155144284722,-0.11611468414646241
153,1,0.5271438398936492,0.0017906417010130626
154,1,0.8803908680013796,0.842709451881789
155,-1,0.7587012165463232,0.6683643977987559
156,-1,0.14097860552429284,-0.17181475471919905
157,-1,-0.48238597389958493,-0.05650385674304613
158,-1,-0.8216507778749743,-0.978243153309943
159,-1,-0.9382826989063711,-0.5332587982473728
160,1,-0.8703092378257293,-0.061969581823478004
161,1,-0.40088938056974616,-0.49047476043961713
162,1,0.3567658052244601,-0.30270166446838376
163,1,1.0358543052683116,0.1322932473883565
164,1,1.4504123755195313,0.5428735132211366
165,1,1.587302463872412,1.1744240870691423
166,1,1.569533454722847,0.7986084234718821
167,1,1.6632410067515178,0.37738059685155656
168,1,1.9984578267416198,0.07381634025653905
169,1,2.282775480699393,1.4887907732583374
170,-1,1.9063538173908297,1.4055885671264312
171,-1,0.9690650881255363,-0.017693331228371245
172,-1,0.16391473366113818,0.27718635968701477
173,-1,-0.4506814154471766,0.4247773053438946
174,-1,-0.9957959475695521,-0.4326300733902813
175,-1,-1.3204339503620068,-0.7755735533964989
176,-1,-1.4418062604554926,-0.7127825112785715
177,-1,-1.5464216229938739,-0.6784187921444575
178,-1,-1.6635043522931792,-0.966960949590315
179,-1,-1.6707646333332555,-1.2829908309227243
180,-1,-1.5879164022188064,-0.950364176418605
181,-1,-1.6135975208104076,-0.5683027425521878
182,-1,-1.7341573849429,-1.1163184384749143
183,-1,-1.7818584798493409,-0.9196813894416702
184,-1,-1.7829938387715358,-0.9524504923319765
185,1,-1.5804528545051106,-0.4970686080705122
186,1,-0.923567182813758,-0.6845896502952004
187,1,-0.07970779458376268,-0.13415661658855882
188,1,0.5854007546556734,-0.06186197659038528
189,1,1.0228130266671462,0.46730367393063066
190,1,1.2533379748024656,0.8506925671775442
191,1,1.4261950552408005,0.2075507422771617
192,1,1.6819999504471739,0.6789926582749933
193,1,1.9333184903231955,0.5358079113590062
194,1,2.087814530275475,1.0106991955681377
195,-1,1.8465840738904213,0.8925989851853899
196,-1,0.9959019628133992,1.0298327575353596
197,-1,-0.05926402715856666,0.48303886810725527
198,-1,-0.8631861618477986,0.12130381750336677
199,-1,-1.3493176419533326,-0.39865423658715415
200,1,-1.2742945485612052,-1.053607653123787
201,1,-0.444595119484285,-0.8506505131793934
202,1,0.5037541571830311,0.24697746520353644
203,1,0.9935092659411995,0.5213440035048641
204,1,1.0938773061482387,1.0990961906446004
205,1,1.1016390486154855,0.6096918830672308
206,1,1.265263649450167,0.38445754131099624
207,1,1.5079022779841071,0.9190178963504341
208,1,1.5415900036903873,1.4978018563495894
209,1,1.4323322743541367,0.6487029388943739
210,1,1.4784780874901915,0.7310522077642579
211,1,1.6693424549859242,0.6216385965055562
212,1,1.9272993376609122,0.2901396228357602
213,1,2.207173723767858,0.6843296311749311
214,1,2.2755825484300596,1.663106605226441
215,1,2.1066135211815658,0.9562696220794877
216,1,1.9821317100557894,1.1265725854941282
217,1,1.9709209523889903,0.9356037943847612
218,1,2.0073017542247444,0.9371745045795895
219,1,1.9917564586723802,1.3244078026478883
220,-1,1.5119860837076393,1.7648860561470914
221,-1,0.4883179202692608,0.325759715620364
222,-1,-0.3888175414629482,-0.07696766800385876
223,-1,-0.8704292460242317,-0.13637190944602826
224,-1,-1.1673725459458293,-0.6166490422894054
225,1,-1.1429491558010452,-0.3026787370885535
226,1,-0.5271820591479596,-0.8619986737825857
227,1,0.345590134949144,0.017458264452799903
228,1,1.0139988265420872,-0.13631436415849485
229,1,1.4497678325838506,0.46430502243745353
230,1,1.7211240479807044,0.6105438466599408
231,1,1.8016693433772883,1.3574740352698633
232,1,1.6747934943067069,1.2927494259929728
233,1,1.5051323552409754,1.1218252287478487
234,1,1.511255175328229,0.4501443375294856
235,-1,1.4265583763595642,0.7411172582119615
236,-1,0.8164278564179239,0.43891050782058133
237,-1,0.04873802567826434,-0.23439903974484944
238,-1,-0.408724366966346,-0.5212745966724497
239,-1,-0.6583172354389626,-0.2589135410387965
240,1,-0.6283656566098971,-0.63974060979395
241,1,0.012905340790219544,-0.7554395383745861
242,1,0.8957161001776494,0.02248111375221093
243,1,1.462470278344663,0.4850895168678709
244,1,1.7413015917011632,0.27910149975483023
245,-1,1.6094056061985744,1.2367958726219914
246,-1,0.8250488319655298,0.4901864818805508
247,-1,-0.07417935908950705,0.06502527789255239
248,-1,-0.678602890419008,-0.014224891335860551
249,-1,-0.9941441682596832,-0.9522735702473499
250,1,-0.8967834378640026,-0.14957578607296718
251,1,-0.4036865440816056,0.10280567048946754
252,1,0.19461753524236486,-0.17404048758889262
253,1,0.7487073966074842,0.06131328427577232
254,1,1.232468315366679,0.12230482658997127
255,1,1.5852143085635573,0.7474117587817468
256,1,1.7914922317853037,0.510453589059225
257,1,1.8845798153394424,1.2398645968846884
258,1,1.850883627752396,1.0258855885123852
259,1,1.7986144802646211,0.9833995114216015
260,-1,1.5812659621816052,0.5049168883120396
261,-1,0.9786584266874865,0.31639901822231936
262,-1,0.2318610480475488,0.20308564041591087
263,-1,-0.4119756386926025,0.12474369095762315
264,-1,-0.8724003814597183,-0.5677875000755293
265,1,-0.8818738650611039,-0.3396770277261757
266,1,-0.3119775231821354,-0.3279045321714589
267,1,0.4059361612997682,0.1505428655817005
268,1,0.8215307585610401,0.8415953847858708
269,1,0.9748767589576732,0.4374937770135853
270,1,1.082448296371127,1.0347103513717064
271,1,1.1618977579473315,0.7578046301534728
272,1,1.3174521097035687,0.30164999268558673
273,1,1.59369694121803,0.5972961054861587
274,1,1.8182982994754688,0.8538836077887323
275,-1,1.5639525364941433,1.2997376748374916
276,-1,0.6067591717820651,1.0345242973806326
277,-1,-0.4505964259952062,0.059457463031521406
278,-1,-1.1148245776122347,0.03386066373695834
279,-1,-1.487348789288891,-0.5152892084472245
280,-1,-1.6466239249736931,-1.1608787835875058
281,-1,-1.6673077760961474,-0.6819868234099445
282,-1,-1.7382847028124315,-0.7740137957677732
283,-1,-1.8413356240954901,-0.993565339164166
284,-1,-1.8895416549014055,-0.9042045438198644
285,1,-1.635268439288773,-0.888231394566584
286,1,-0.8245035106312284,-0.9503355368773554
287,1,0.22950402749880697,-0.7012013913204889
288,1,1.0039981935724132,0.478965013987817
289,1,1.351783968833251,0.4134050175093944
290,-1,1.2785569217954917,0.4133978153084624
291,-1,0.7519679996912869,0.03815659595379056
292,-1,0.03814523750067611,0.4818976084830181
293,-1,-0.612416497711197,-0.17596029786281983
294,-1,-1.0210175477229064,-0.647175818165755
295,-1,-1.2642025834292347,-0.25320799933076205
296,-1,-1.501325617114148,-0.7355818652160402
297,-1,-1.6187377755134058,-1.2260396473822237
298,-1,-1.6056021509693448,-0.7442638236124592
299,-1,-1.6747921509326649,-0.6218902070837667
300,1,-1.5409644051133617,-0.9304458735688332
301,1,-0.7836941072554748,-0.8648846268964229
302,1,0.14899193844894149,0.12760322186908624
303,1,0.6416753277860014,0.8121732914749068
304,1,0.7788759857918476,0.43482059921793825
305,-1,0.7165810598971865,0.12549272366102016
306,-1,0.3428880617716977,-0.22350052332321818
307,-1,-0.18677746234656184,0.0664198555508766
308,-1,-0.6544536477503269,-0.4722974642832404
309,-1,-0.9917502131168989,-0.29907429939542196
310,-1,-1.2590170481086345,-0.6301516110575316
311,-1,-1.5053946028134937,-0.3808979281157013
312,-1,-1.7038997782013814,-0.9955347359154095
313,-1,-1.7477269989983182,-1.1094907297008905
314,-1,-1.7921129840601786,-0.2969622987580891
315,-1,-2.0000377775192906,-0.7204160495612211
316,-1,-2.2427493294760557,-0.5618770702422735
317,-1,-2.361225135189359,-1.2356116732268903
318,-1,-2.369736601861144,-0.6689201369153921
319,-1,-2.4270116363408176,-0.8778893079367394
320,1,-2.204133209184488,-1.1015640868766063
321,1,-1.3257189274309487,-1.1096292827388765
322,1,-0.23441597771524708,-0.36616699722266494
323,1,0.4851296493826759,0.34364806221667465
