step,reference,input,output
119,1,1.2162289648368594,0.535618287914763
120,1,1.412377697664415,0.6356627926446256
121,1,1.581636364524166,0.7224672187531739
122,1,1.717946287973556,0.7974329684065244
123,1,1.8155477846200603,0.8525140911963497
124,1,1.8840899237718731,0.8903534762980204
125,1,1.9348888643606768,0.9177662260594741
126,1,1.9736520094903978,0.9387693416412078
127,1,2.0027382247501992,0.9547256651092594
128,1,2.0241256768966713,0.9664908278300823
129,1,2.0398612387279345,0.9751025012572994
130,-1,1.7671850661361128,0.9814839243338146
131,-1,0.963222865201502,0.7018766016972742
132,-1,0.03747516066461311,0.20554939599141048
133,-1,-0.6011815786355574,-0.1855634143549841
134,-1,-0.9700189074301555,-0.4014418698013784
135,1,-0.9441172357210684,-0.5351858336782073
136,1,-0.3480482908893969,-0.363315740436425
137,1,0.4123987070994646,0.04214158805381461
138,1,0.9321373404229853,0.36644685966780094
139,1,1.216749558009266,0.5359030199181909
140,-1,1.128389158257518,0.6358741633941893
141,-1,0.4848578207188665,0.43824912815310313
142,-1,-0.3111403277499396,0.013296519068455935
143,-1,-0.8570555594039391,-0.3253958009697527
144,-1,-1.1609538357188716,-0.5054053940348613
145,-1,-1.371304438981894,-0.6131996037206743
146,-1,-1.5511511515652723,-0.7057887540030717
147,-1,-1.6953282070828628,-0.7850605341183486
148,-1,-1.798759313031026,-0.8433326994093198
149,-1,-1.8716241927216353,-0.8835361946773844
150,1,-1.6412586659892279,-0.91270414976338
151,1,-0.8697164634945871,-0.6506365975746062
152,1,0.03166087163663768,-0.16768356821442584
153,1,0.6524213474406615,0.21357597176721835
154,1,1.0081102213054511,0.4222576183094984
155,-1,0.9724316397466765,0.5506706299926776
156,-1,0.369062825864418,0.37481392798623153
157,-1,-0.39681022179480085,-0.0336140007849648
158,-1,-0.9205672215996619,-0.36011950442796004
159,-1,-1.2081578872845795,-0.5312045663950995
160,1,-1.122009923990594,-0.6323850746651195
161,1,-0.48012261558809033,-0.43565906616956834
162,1,0.3146550334863656,-0.011374146293126275
163,1,0.8596646668483994,0.32682278236852474
164,1,1.162890812530387,0.5064647792365431
165,1,1.3727423809997077,0.6139860754704651
166,1,1.5522185779153772,0.7063725789237929
167,1,1.6961205892348519,0.785493919601875
168,1,1.7993475356394908,0.8436544194089685
169,1,1.8720608617699699,0.8837750253173517
170,-1,1.6415828259249285,0.912881445831497
171,-1,0.8699571008505839,0.6507682118382502
172,-1,-0.03148223626737351,0.1677812708663122
173,-1,-0.6522887382212469,-0.2135034426863638
174,-1,-1.0080117793291736,-0.4222037765653522
175,-1,-1.2567335618354953,-0.5506306608099266
176,-1,-1.466074006586234,-0.6591592570969488
177,-1,-1.6324490902123112,-0.7506169028869881
178,-1,-1.7521643227936075,-0.8178605054465803
179,-1,-1.836981041294893,-0.8646063556118331
180,-1,-1.8998790276516995,-0.8986193954483302
181,-1,-1.94766756113603,-0.9245527138993521
182,-1,-1.9834608144117791,-0.944180416965507
183,-1,-2.009817118456806,-0.9586657561164066
184,-1,-2.0292365775645465,-0.9692921496129875
185,1,-1.7592966137539905,-0.9771693798799455
186,1,-0.9573673232836768,-0.6986737757393178
187,1,-0.033128795497242666,-0.2031721554608935
